gene_id,alpha,f,mu,theta
LOC105447777,-3.66670010897,0.686229617437,0.154793655465,0.00256375692036
LOC105447778,-0.249997870797,0.239819522611,0.00620134798488,0.00375323048317
LOC105447779,NA,2.3254441886e-13,4.63242176965e-4,0.00808821937954
LOC105447781,-0.114288851443,0.30333694168,0.036081851692,0.0102605331233
LOC105447784,0.186064738036,0.999999999997,0.00414036740907,0.0057114377321
LOC105447785,-0.181818089144,0.329872582056,0.0480579015315,0.0147994677213
LOC105447786,NA,1.22031970659e-12,0.00193779550172,0.0034311213131
LOC105447787,-3.37318733096,0.999999999989,0.0174176402511,0.0021790059397
LOC105447788,0.829545857767,0.84369579611,5.02725099585e-5,0.00239152152577
LOC105447789,-0.333333551908,0.158203810555,0.012090183302,0.00731729913785
LOC105447790,-0.207386189675,0.301415585076,0.0192568982606,0.00988109262296
LOC105447791,-2.82352621353,0.457389075677,0.167815517275,0.0029952486193
LOC105447792,-0.333335523269,0.103098680761,0.0125119343366,0.0134932547758
LOC105447793,-0.250002474838,0.517141827978,0.0240844252396,0.0077634635372
LOC105447794,0.260505251266,0.533146196967,0.00109250547992,0.00684422036493
LOC105447795,0.487068480183,0.125497276808,1.82223925348e-5,0.00801763907414
LOC105447796,NA,0.13440755682,0.00599586341645,0.00566135296085
LOC105447797,-1.03635404004,0.490543792967,0.0203602237169,0.00770958264066
LOC105447799,0.416668868535,0.290388975513,0.00822156482322,0.0145573929404
LOC105447800,-0.304928316107,0.290592984515,0.0213788351596,0.0184902948308
LOC105447801,NA,0.138229379216,4.54434039884e-4,0.00460428597741
LOC105447802,0.100000360802,0.344155852112,0.0273998776596,0.0171949090589
LOC105447803,0.0635749951485,0.999999999899,0.00645117249523,0.00286164103116
LOC105447804,-0.745741144633,0.999999999948,0.0116317204884,0.00268871415133
LOC105447805,0.519331610746,0.510650943047,1.65570853881e-14,0.00231455053402
LOC105447806,-1.52632277665,0.2713821322,0.00520251022072,0.0132357944092
LOC105447807,NA,0.999999999731,8.11948136693e-14,0.00726451863627
LOC105447808,0.612794699045,0.561685716507,1.87739100014e-12,0.0131731753575
LOC105447810,NA,0.335526103084,2.50622081685e-14,0.0144185430367
LOC105447811,-2.28570339643,0.518683297453,0.103707405094,0.00753135263406
LOC105447812,0.666666146203,0.190341293887,0.00516747469548,0.00914964596435
LOC105447813,NA,1,7.2604583044e-14,0.00185622694682
LOC105447814,0.504164287762,0.626807425014,0.0172057566022,0.00682150056349
LOC105447815,0.999999999998,3.14058093508e-13,0.0243124523202,0.0078369990107
LOC105447816,0.533332178682,0.527285978604,0.0304551382434,0.0128109201104
LOC105447817,NA,0.26354587378,2.78367790397e-16,0.00281986645992
LOC105447818,0.999999999996,1.31129040798e-12,0.0511792454753,0.00494377170229
LOC105447819,0.259257361016,0.0386268617911,8.73396077014e-4,0.00717559915181
LOC105447821,0.388888054381,0.204566387111,0.0426696417244,0.0123152665298
LOC105447822,0.681248963972,0.186847803458,0.101858164117,0.00713928226144
LOC105447823,0.583334240111,0.770295447661,0.00150537045555,0.00744232929206
LOC105447824,0.999527181509,3.72344802542e-4,0.0398670792091,1.04771919878e-15
LOC105447825,-0.508571644481,0.313774398773,0.0123585164172,0.00843099129513
LOC105447826,0.599997899092,0.300001074428,3.43693186682e-4,0.0163473593209
LOC105447827,0.183334272028,0.22639735566,0.00490603595581,0.00996612224808
LOC105447828,NA,0.0141152161824,2.41606107106e-14,0.0135794601289
LOC105447829,0.80952437916,0.12030069244,0.00270727129097,0.027429482657
LOC105447830,-1.16301263627,0.21217323311,1.14675576348e-13,0.0164532924604
LOC105447831,-4.83332052901,0.586112912954,0.0331054454656,0.00727230600255
LOC105447832,0.203239519204,0.235716933693,0.00318523944865,0.0113617070274
LOC105447833,NA,0.0325227213125,1.49860237954e-14,0.013457309873
LOC105447834,NA,0.106682659986,1.61923510125e-13,0.016201875308
LOC105447836,NA,0.179441626132,1.31589025009e-15,0.012903298905
LOC105447837,0.364707979671,0.276714865,0.0149723322206,0.00841043866885
